Size (bp),CT_PD1,NE_MRL1, YC_PD1,CT_Large3,CT_PD2,NE_MRL2, YC_PD2,CT_PD3,NE_MRL3, YC_PD3,CT_MRL1,NE_PD1, YC_MRL1,CT_MRL2,NE_PD2, YC_MRL2,CT_MRL3,NE_PD3, YC_MRL3,CT_Large1,NE_Large1, YC_Large1,CT_Large2,NE_Large2, YC_Large2,NE_Large3,YC_Large3
450.14,29.55,247.23,34.75,388.56,32.07,196.48,44.05,33.46,214.07,39.56,210.86,29.64,236.58,208.14,36.89,181.26,177.33,34.42,192.53,497.53,349.69,436.14,370.35,470.44,450.26,265.63,371.69
450.86,30.38,241.67,33.76,387.57,30.24,191.56,43.04,33.24,210.16,39.82,205.89,28.38,232.98,203.46,35.48,178.58,173.69,34.02,189.38,497.14,349.8,436.98,369.81,471.24,450.69,264.71,371.11
451.57,31.43,235.81,32.47,385.9,29.63,187.2,42.4,33.26,206.15,39.88,201.57,28.99,229.76,199.47,34.09,175.62,171.16,33.64,185.08,496.34,349.7,437.52,368.89,470.65,450.64,263.71,369.79
452.28,31.19,231.28,31.55,383.86,30.02,183.5,42,33.01,201.71,39.28,198.6,30.41,226.44,196.36,33.1,172.52,168.72,32.53,180.75,495.45,348.79,438.53,367.98,469.96,449.85,263.12,369.08
452.99,29.93,228.58,31.53,382.72,30.66,179.92,40.92,32.69,197.87,38.22,195.88,31.28,221.29,193.32,32.54,169.06,165.45,31.12,177.34,495.24,347.71,439.5,367.61,470.17,448.44,263.28,369.21
453.71,29.18,226.47,32.14,382.69,30.5,176.35,39.39,32.41,195.16,37.16,192.55,31.42,215.37,189.29,32,165.09,162.18,30.84,174.47,494.95,347.55,439.26,367.27,470.77,447.44,263.39,369.49
454.42,29.07,223.27,32.44,382.41,29.09,173.51,38.32,31.77,192.87,36.45,188.87,31.21,211.7,184.32,30.99,160.89,159.81,31.46,171.2,493.27,348.15,437.99,366.44,470.88,447.79,262.54,369.81
455.13,28.43,218.68,31.76,381.3,27.27,171.38,38.25,30.66,190.4,35.69,185.6,30.6,210.36,179.57,29.74,156.95,157.75,31.46,167.52,490.85,348.75,436.59,365.65,470.48,448.96,261.42,370.33
455.84,27.13,213.84,30.61,380.65,26.23,168.92,39.23,29.41,187.46,34.26,183.15,29.27,208.88,176.16,28.88,153.86,155.56,30.79,164.47,489.55,349.24,435.73,365.4,470.09,449.82,260.78,370.88
456.55,25.97,209.81,30.17,381.23,26.51,165.88,40.56,28.34,183.9,32.81,180.89,27.32,207.64,174.23,28.38,151.83,153.78,30.61,162.33,490.13,349.85,435.97,365.34,469.25,449.78,260.14,371.17
457.27,25.06,206.81,30.83,381.8,27.33,163.01,41.33,27.64,180.4,32.45,177.76,25.57,206.41,172.59,27.82,150.25,152.15,30.92,156.08,491.45,350.4,436.73,364.78,469.46,448.78,259.02,370.72
457.98,24.09,204.17,31.71,381.02,27.12,160.24,41.49,27.2,177.73,32.66,173.63,24.89,203.9,170.04,27.36,148,149.76,30.64,153.08,491.75,350.13,436.75,363.39,469.83,447.34,257.47,369.09
458.69,23.44,200.66,31.91,378.9,25.65,156.94,41.4,26.93,175.32,32.26,169.5,25.05,201.23,166.91,27.35,144.71,146.65,29.53,151.08,490.35,348.6,436.11,361.49,468.65,446.34,256.01,366.81
459.4,23.55,195.97,31.63,376.21,24.32,153.38,41.45,27.25,172.15,31.89,166.46,25.03,197.56,164.18,27.32,141.27,143.38,28.33,148.9,487.99,346.78,436.18,359.76,466.22,446.27,255.37,365.18
460.12,23.8,191.44,31.28,374.25,24.01,150.47,41.82,28.1,168.29,32.82,164.46,24.44,193.49,161.93,26.86,138.52,140.3,27.7,146.37,485.55,346.25,437.49,358.67,464.58,446.92,255.32,365.04
460.83,23.28,188.1,30.88,374,24.46,148.32,42.08,28.2,164.38,34.18,162.76,23.56,190.08,159.77,26.33,136.21,137.61,27.96,144.08,483.71,347.29,438.92,357.93,464.63,447.61,254.79,366.12
461.54,22.03,185.38,30.49,374.89,25.46,146.41,41.53,26.88,160.73,34.15,160.85,22.81,187.26,157.18,25.98,133.83,134.94,28.76,141.98,482.83,348.51,438.97,356.79,465.12,447.38,253.37,367.49
462.25,20.56,182.35,28.98,375.24,26.6,144.55,40.27,25.37,157.56,32.61,158.43,22.7,184.65,153.42,25.77,131.4,131.58,29.21,140.08,482.47,348.7,437.75,355.25,464.52,445.77,251.37,368.18
462.96,19.39,178.6,27.12,374.23,26.9,142.35,39.07,24.65,154.92,30.76,155.18,23.48,182.42,148.64,25.96,129.04,127.49,29.02,138.53,481.95,348.08,436.63,354.19,462.96,443.4,249.22,367.84
463.68,19.24,174.09,25.68,372.71,25.99,139.35,38.2,24.47,152.49,29.48,151.34,24.47,180.47,144.12,26.54,126.82,123.44,28.55,136.64,481.36,347.45,436.11,354.32,461.91,441.51,247.51,366.99
464.39,20.2,169.18,25.37,371.98,24.44,135.88,37.48,24.43,150.43,29.08,147.65,25.21,178.04,140.89,26.67,124.95,120.28,28.05,133.42,481,347.06,435.57,355.57,461.76,440.92,246.64,366.27
465.1,20.9,164.61,25.86,372.36,22.69,132.5,37.08,24.55,149.18,29.57,144.58,26.36,174.7,139.04,25.63,123.53,118.03,27.55,129.4,480.67,346.67,434.6,356.67,461.31,441.15,245.8,365.65
465.81,20.35,161.01,25.73,373.27,21.22,129.41,37.25,24.97,148.17,30.53,142.09,28.02,171.29,137.65,24.08,122.32,116.25,27.09,126.43,480.09,345.19,433.73,356.12,460.35,441.04,243.85,364.61
466.53,19.32,158.78,24.75,374.18,20.75,126.92,37.19,25.06,146.1,31.09,140.16,28.84,168.72,135.26,23.53,120.81,114.67,26.81,125.37,479.36,343.54,433.81,354.66,459.96,440.17,241.13,362.88
467.24,19.08,157.77,24.41,374.6,21.44,125.37,35.96,25.14,138.59,30.82,135.6,28.39,166.55,131.82,24.54,118.39,112.79,26.92,124.93,478.29,342.87,434.75,354.2,460.14,439.08,239.02,360.94
467.95,19.94,156.91,25.17,373.54,22.97,124.33,34.33,24.23,135.39,30.24,131.55,27.7,164.07,128.53,25.81,115.52,110.51,27.67,123.43,476.21,343.37,435.11,354.71,459.49,438.27,238.21,360.13
468.66,20.93,154.85,25.55,370.75,24.75,123.03,33.75,22.65,133.71,30.01,127.77,27.23,161.45,125.65,25.68,113.72,108.59,28.66,120.65,473.64,344.41,434.19,354.69,457.38,437.75,238.51,361.06
469.37,20.85,151.68,24.86,367.71,25.69,121.32,34.07,21.92,132.82,29.74,125.4,26.34,159.11,122.87,24.04,113.27,107.14,28.6,117.35,472.05,345.54,433.55,353.87,454.9,437.42,239.45,362.35
470.09,19.97,148.87,24.41,365.73,25.37,119.39,34.13,22.57,131.4,28.67,123.4,24.88,156.77,120.53,22.33,112.58,105.46,26.83,114.32,471.61,346.12,434.63,352.79,453.45,436.97,240.1,362.47
470.8,19.6,147.01,25.21,364.73,24.79,117.14,33.86,23.43,128.89,27.14,120.79,23.79,153.91,118.86,22.63,107.65,103.4,23.88,112.06,471.21,345.1,436.74,351.54,453.16,435.86,239.32,362.05
471.51,20.02,145.27,26.27,364.29,24.65,114.53,33.58,23.24,125.81,26.41,118.37,23.61,150.99,117.17,24.28,104.79,101.09,24.44,110.26,469.87,342.62,435.96,350.09,453.21,434.43,237.28,362.34
472.22,20.33,143.03,26.29,363.92,24.87,111.93,33.14,22.27,123.43,26.91,117,23.6,148.87,114.98,25.75,102.63,98.49,25.09,108.28,467.23,340.56,434.73,348.92,453.1,433.82,235.73,363.31
472.94,20.03,140.29,25.56,362.93,25.68,109.82,33.84,21.6,122.29,27.59,116.09,23.22,147.27,112.95,26.37,101.05,95.57,25.36,106.37,463.83,340.41,433.45,348.43,452.81,433.96,235.69,364.06
473.65,19.58,137.11,25.05,361.18,26.88,108.34,35.65,21.46,121.12,27.38,114.45,23.42,145.47,111.72,26.34,99.35,92.38,25.54,105.09,460.75,341.74,432.24,348.01,452.31,433.26,236,363.86
474.36,19.28,133.69,24.93,359.09,27.43,107.18,36.78,21.24,118.64,26.44,111.55,24.64,143.6,110.73,26.5,97.2,89.41,25.65,103.79,458.78,343.12,430.96,346.65,451.35,430.78,235.02,362.61
475.07,19,130.56,24.77,356.86,26.97,105.74,35.87,20.5,115.33,25.6,107.83,25.56,141.88,108.94,27.04,95.06,87.29,25.85,101.56,458.17,343.45,429.86,344.43,449.84,427.29,232.32,361.03
475.78,18.84,127.75,24.4,354.34,25.83,103.83,34.15,19.47,112.19,25.33,104.32,25.03,140.26,106,27.25,93.4,85.82,26.4,98.76,457.64,342.35,429.82,342.75,449.2,424.58,228.85,360.01
476.5,18.9,124.93,24.25,351.6,24.22,101.99,33.6,18.91,109.37,25.26,101.79,23.59,138.59,102.72,26.77,92.2,84.18,26.3,96.45,456.07,340.4,430.85,342.78,448.56,423.91,226.27,359.84
477.21,18.92,122.4,24.62,349.63,22.88,100.55,34.16,19.26,106.61,24.74,100.12,22.74,136.41,100.31,25.99,91.17,82.05,24.82,94.9,454.07,339.07,431.62,344.19,448.22,424.72,225.32,360.15
477.92,19.01,120.62,24.99,349.68,22.53,99.33,34.68,20.06,103.67,24.11,98.84,23.19,134.87,99.16,25.33,89.91,79.86,23.55,93.45,452.04,338.95,431.14,345.49,448.08,425.16,225.01,360.24
478.63,19.71,119.26,26.7,350.89,22.94,97.94,35.16,20.61,100.69,24.14,97.87,24.04,133.34,98.21,25.02,88.44,78.16,24.22,91.48,449.71,338.74,429.97,345.15,446.78,424.27,224.62,359.55
479.35,20.81,117.52,28.33,350.81,23.48,95.99,36.19,21.06,98.2,24.52,96.99,24.1,129.84,96.25,25.2,87.28,77.27,25.89,89.26,447.08,337.23,428.95,342.65,444.17,422.71,224.54,358.32
480.06,21.31,115.14,28.85,348.8,23.69,93.67,37.22,22.06,96.62,24.29,95.51,23.5,126.78,93.74,25.38,86.22,77.02,26.48,87.21,444.92,335.11,427.89,339.42,441.55,421.19,224.43,357.07
480.77,20.9,112.75,28.58,346.04,23.34,91.56,37.18,23.31,95.58,23.46,92.9,23,124.41,91.96,25.04,84.55,76.67,25.5,85.16,443.42,333.78,426.5,337.69,439.77,419.73,223.39,355.49
481.48,20.4,110.64,28.24,343.21,23,89.59,36.66,23.57,94.17,22.82,89.61,22.69,122.38,90.93,24.71,82.38,75.37,23.87,83.05,441.4,333.34,424.93,337.85,438.42,418.21,221.58,353.39
482.19,20.29,108.05,27.7,340.84,23.25,87.61,37.02,22.62,92.17,23.03,86.87,22.31,120.62,89.8,24.83,80.15,72.64,22.38,81.3,438.49,332.76,422.57,338.04,436.91,416.45,219.45,351.78
482.91,19.8,104.83,26.69,339.47,23.73,86.06,37.53,22.11,90.27,23.92,85.42,22,119.46,88.36,24.66,77.68,69.03,21.68,80.13,436.12,331.64,419.24,336.74,435.07,414.32,216.86,351.1
483.62,18.51,101.72,25.65,338.42,23.78,84.81,36.37,23.41,88.97,24.29,84.71,22.18,118.81,86.69,24.07,74.68,66.15,22.27,79.16,434.96,330.63,416.61,334.4,432.85,412.51,214.35,350.55
484.33,17.49,99.02,24.97,336.96,23.49,82.61,34.01,25.19,87.84,24.66,83.83,22.93,117.58,84.65,23.99,71.51,65.1,23.5,77.76,434.13,330.67,415.61,332,430.6,411.34,213.21,349.86
485.04,17.57,96.77,24.73,335.41,23.51,79.26,32.8,25.39,86.03,24.87,82.5,23.37,114.83,82.26,24.52,68.81,65.34,24.2,75.74,433.17,331.55,415.17,329.86,428.98,410.14,213.58,349.14
485.76,18.02,95.18,25.31,333.95,23.79,76.43,33.59,24.48,83.59,24.88,80.99,22.79,111.27,79.83,25.06,66.78,65.45,23.97,73.74,432.42,331.93,414.72,328.05,428.18,409.02,214.4,347.94
486.47,18.22,94.05,26.61,332.25,23.66,74.89,34.71,24.2,81.39,24.8,79.54,21.99,108.42,77.6,25.36,65.47,64.77,22.97,72.38,431.81,331.24,414.77,326.36,427.51,408.53,214.43,346.08
487.18,18.5,92.63,27.29,330.42,23.15,73.64,34.52,24.4,79.67,24.82,78.02,21.99,106.63,75.54,25.1,64.92,63.99,21.65,71.29,430.7,330.07,415.19,324.24,426.26,407.66,212.67,344.3
487.89,18.96,90.43,26.66,328.81,23.01,72.21,33.52,24.18,78.06,25.19,76.26,22.28,105.24,73.65,23.93,64.76,63.51,20.54,69.49,428.43,329.03,415.15,321.87,424.84,405.32,209.35,343.43
488.6,19.08,87.97,25.76,327.57,23.36,70.93,33.07,24.09,76.25,25.32,74.45,21.87,103.82,71.99,22.58,64.73,62.54,19.85,66.94,425.1,328.73,414.35,320.48,423.77,402.6,206.25,343.4
489.32,18.66,85.95,25.44,326.59,23.55,69.82,33.49,24.73,74.28,24.7,73.03,21.23,102.4,70.6,22.27,64.97,61.08,19.69,64.74,421.59,328.43,413.26,320.31,422.21,400.93,204.59,343.23
490.03,18.12,84.42,25.43,325.57,23.39,69.06,34.14,25.49,72.69,24.08,71.94,21.75,101.23,69.41,23.26,64.97,60.44,20.27,63.68,418.55,327.93,412.01,320.08,419.47,399.88,203.91,342.4
490.74,18,83.16,25.5,324.14,23.3,68.63,34.41,25.71,71.69,24.25,70.52,23.28,100.47,68.02,24.55,63.92,60.82,21.49,63.47,416.14,326.64,410.52,319.24,416.22,398.43,203.11,341.24
491.45,18.06,82.33,25.6,321.85,23.16,67.59,34.1,25.37,70.55,24.85,68.38,24.02,99.79,66.04,25.1,62.16,60.99,22.92,63.25,414.27,324.35,409.14,318.14,413.54,396.46,202.03,340.02
492.17,17.64,82.21,25.57,318.66,22.86,65.35,33.62,24.79,68.72,25.12,65.81,23.32,98.6,63.65,25,60.38,60.11,24.44,62.35,412.44,322.04,407.86,316.62,412.15,394.29,201.07,338.9
492.88,16.86,80.63,25.62,315.57,23.28,60.99,33.61,24.24,66.83,25,63.52,22.29,96.96,61.37,24.74,58.38,57.89,25.78,60.66,409.83,320.61,406.1,314.59,412.14,392.28,200.21,337.16
493.59,16.79,77.46,25.79,313.81,24.83,59.94,34.48,23.72,65.53,24.85,62.18,21.54,95.44,59.92,24.31,55.99,54.49,26.11,58.49,405.98,320,404.26,312.65,412.49,390.98,199.3,335.55
494.3,16.73,73.82,25.96,313.37,25.95,59.41,35.73,23.2,64.43,24.57,61.88,20.91,94,59.68,23.67,53.8,51.27,25.23,56.42,401.64,319.87,403.04,311.08,411.85,390.38,198.27,333.71
495.01,17.62,70.81,26.28,313.03,25.01,58.86,36.36,22.67,63.07,23.8,61.66,21.11,92.11,59.65,23.07,52.2,49.61,24.03,55.05,398.56,319.95,401.65,309.91,409.9,389.41,196.93,332.13
495.73,18.39,68.54,26.61,311.66,22.76,58.13,36,22.01,62.08,22.86,60.49,22.67,89.68,58.42,22.67,50.95,49.22,23.13,54.25,397.66,319.86,399.47,309.11,407.51,387.61,195.28,330.52
496.44,17.89,66.69,27.1,309.35,21.31,57.61,34.92,21.56,62.16,22.53,58.74,24.25,87.4,56.06,22.44,49.98,49.11,22.73,53.36,397.49,319.07,398.02,307.69,406.66,385.97,193.85,329.03
497.15,16.76,65.22,26.94,307.24,21.49,57.38,33.65,22.12,62.69,22.81,57.45,24.28,86.37,53.57,22.35,49.39,48.58,22.85,51.95,395.89,317.43,398.47,304.85,405.8,384.85,193.34,328.17
497.86,16.48,64.42,25.69,305.79,22.49,56.84,32.93,23.67,62.38,23.55,56.84,23.03,87,51.51,22.68,49.03,47.14,23.3,50.44,392.97,315.59,399.1,301.79,404.96,383.04,193.47,327.64
498.58,17.21,63.75,24.51,303.91,23.02,55.36,33.33,24.87,60.75,24.71,56.61,21.85,88.04,49.97,23.25,48.61,45.26,23.86,49.52,390.53,314.16,397.87,300.03,404.18,380.06,193,327.05
499.29,18.21,62.16,24.33,300.96,22.69,53.17,34.46,24.7,58.52,25.42,56.36,21.71,87.45,48.84,23.11,47.83,43.85,24.36,49,389.34,312.83,395.67,299.08,402.73,377.01,191.36,326.37
500,19.29,60.08,24.79,298.24,22.43,51.56,34.94,23.55,56.55,24.96,55.67,22.49,86.11,47.95,22.14,46.7,42.74,24.72,48.39,388.67,311.28,394.37,297.63,400.58,374.82,189.22,325.03
501,20.32,58.83,25.16,297.04,22.77,50.92,34.1,22.46,55.07,24.15,54.61,23.25,84.76,47.51,21.11,45.45,41.56,25.22,47.86,387.68,310.08,393.54,295.85,398.23,373.36,187.25,322.25
502.01,20.55,58.37,24.95,296.46,22.93,50.06,33.14,21.72,54.12,23.73,53.61,23.28,81.89,47.94,20.72,44.1,40.48,25.7,47.31,385.93,310.04,391.48,294.66,396.07,372.09,185.54,318.86
503.02,19.77,57.96,24.23,294.62,22.38,48.33,33.43,20.85,53.79,23.22,52.68,22.77,80.79,48.86,21.46,43.02,39.23,25.2,46.44,383.58,310.99,387.8,293.62,393.62,370.73,183.85,316.75
504.03,18.86,57.43,23.72,291.38,21.64,46.75,34.55,19.66,53.49,22.44,51.73,22.41,80.99,49.45,22.86,42.74,37.69,23.46,45.59,381.43,311.7,383.8,291.75,390.55,369.28,182.19,316.14
505.04,18.53,56.64,23.9,288.27,21.42,46.78,35.05,18.83,52.29,21.96,50.98,22.58,80.57,49.37,23.55,42.58,36.79,21.63,44.89,379.28,310.83,381.69,289.25,387.9,367.88,181.26,315.4
506.05,18.8,55.84,24.6,286.12,21.94,48.42,34.22,19.03,50.19,21.83,49.99,23.07,78.8,48.59,23.4,41.44,36.88,20.9,43.86,375.94,308.32,382.43,286.7,386.42,366.49,181.09,313.87
507.06,19.52,55.64,25.46,284.6,22.48,49.82,32.67,20.48,48.41,21.77,48.14,23.79,76.88,47,23.41,39.66,36.93,21.39,42.12,371.58,305.17,384.18,284.56,385.62,364.69,180.51,312.62
508.07,20.03,55.52,25.97,283.53,22.48,49.49,31.58,22.5,47.85,22.04,46.18,24.7,76.11,44.89,23.83,38.67,35.8,22.33,39.65,367.92,302.2,384.64,283.49,385.14,362.3,180.34,312.27
509.08,19.59,54.42,25.48,282.64,22.79,47.9,31.61,23.18,47.74,22.86,45.28,25.09,76.24,43.16,24.29,38.7,33.72,22.81,37.48,365.53,299.88,383.39,283.21,384.9,360.01,180.16,312.05
510.09,18.67,52.66,24.34,281.52,23.97,45.95,32.34,21.95,46.68,23.97,45.12,24.29,76.34,42.27,24.33,38.59,31.99,22.72,36.79,363.31,298.45,381.3,282.54,384.25,358.32,179,311.24
511.1,18.25,51.4,23.82,280.26,24.87,43.84,33.04,20.9,44.59,24.96,45.06,22.57,75.97,41.56,23.8,37.87,31.39,22.56,37.06,360.48,297.69,379.13,281.34,382.34,356.7,177.44,309.85
512.11,18.53,51.05,24.23,278.93,24.93,41.88,33.54,21.31,43.09,25.5,45.27,20.64,74.77,40.27,23.51,37.17,31.66,22.67,37.28,357.46,296.77,376.82,280.33,379.28,354.59,176.32,308.07
513.12,19.04,51.21,24.53,276.98,24.95,40.46,34.05,22.01,44.23,25.66,46.25,19.28,72.74,38.67,24.02,36.84,32.25,22.84,37.28,355.14,295.01,374.26,279.31,375.85,352.09,175.96,306.27
514.13,19.15,51.24,24.83,273.95,25.32,39.57,34.65,22.54,47.91,25.63,48.16,19.08,70.88,37.56,24.74,36.78,32.47,22.77,36.7,353.7,293.18,372.4,277.53,372.56,349.31,176.93,304.86
515.14,18.75,50.62,25.4,270.28,25.65,39.11,35.21,23.57,50.65,25.18,49.76,20.09,70,36.96,25.43,36.86,31.51,22.63,35.17,352.5,292.56,371.82,274.91,370.2,346.36,178.33,303.63
516.15,18.31,49.01,26.34,267.13,25.18,38.72,35.39,24.71,49.27,24.31,49.18,21.7,69.58,36.5,26.24,36.74,29.79,22.65,33.06,351.95,292.51,371.54,272.16,369.64,343.83,177.4,301.89
517.16,17.89,46.73,27.55,265.15,23.76,37.96,34.97,25.24,45.35,23.65,46.55,22.73,68.85,36.46,26.57,35.69,28.65,22.47,31.29,353.46,291.54,370.65,270.23,369.82,342.35,173.32,299.36
518.17,17.12,45.19,28.37,264.15,22.83,37.07,34.34,25.33,42.82,23.45,43.52,22.45,67.84,36.85,25.89,33.44,28.4,21.75,31.37,355.59,290.68,369.2,269.18,368.31,341.52,168.51,296.72
519.18,16.29,45.2,28.41,264.73,23.41,36.42,34.29,24.92,43.01,23.33,40.78,21.41,66.98,36.8,24.25,30.96,28.25,20.81,34.04,354.05,289.83,367.36,267.83,364.5,340.41,165.23,295.3
520.19,16.02,45.13,28.01,267.55,24.05,36.05,34.92,23.73,44.18,22.96,38.48,21.16,66.48,35.97,22.4,29.79,27.73,20.42,37.07,347.88,288.22,365.3,265.53,360.38,338.96,163.89,295.34
521.2,16.3,43.25,27.76,270.13,23.53,36.05,35.15,22.47,43.92,22.37,37.26,23.3,66.24,35.19,22.62,30.71,26.99,21.54,37.15,341,286.7,363.36,263.5,357.88,337.35,163.75,295.19
522.21,16.8,41.3,27.47,268.79,23.16,36.33,34.46,22,41.15,21.83,36.95,27.71,65.79,35,26.68,33.04,26.34,24.54,34.4,336.83,285.14,362.09,262.27,356.86,334.98,163.47,293.36
523.22,17.35,42.62,26.51,263.93,24.95,36.83,33.77,22.26,37.15,21.52,36.58,31.17,64.84,35.04,31.65,34.65,26.15,27.6,31.96,334.88,283.67,362.23,260.01,356,331.68,162.06,290.54
524.23,17.82,47.2,25.32,259.12,29.05,38.14,31.46,22.98,34.45,21.62,36.14,30.53,63.7,34.71,32.83,33.67,26.34,28.13,31.24,332.81,281.66,363.7,256.11,355.24,328.4,160.16,288.42
525.24,18.55,50.6,24.99,256.22,32.47,39.89,30.22,24.01,34.5,22.56,36.41,26.97,62.25,33.93,30.32,30.76,26.13,26.3,30.79,329.61,278.81,364.48,254,354.47,325.72,159.02,288.09
526.26,19.8,49.12,25.53,254.58,31.83,40.12,30.7,24.63,36.37,24.03,37.25,23.98,60.02,33.15,27.74,28.36,25.38,24.49,29.59,326.28,276.53,362.36,256.69,352.32,323.67,158.4,289.6
527.27,20.61,44.4,25.87,253.13,28.03,38.03,32.01,24.01,38.14,24.51,37.69,22.65,58.1,32.55,26.7,27.93,24.8,24.05,28.29,324.24,275.91,357.69,261.18,350.28,323.2,157.15,290.96
528.28,20.3,40.26,25.62,251.54,25,35.15,33.52,22.63,39.01,23.43,37.13,22.13,57.98,31.9,26.55,29.15,24.52,24.69,27.51,323.52,275.91,353.13,261.8,348.74,325.22,155.41,289.32
529.29,19.81,37.47,25.29,249.98,24.14,33.53,34.97,22.32,39.29,22.28,35.55,22.43,58.81,31.34,26.85,30.53,23.85,25.3,27.15,322.65,275.18,350.61,257.68,347.16,327.66,154.32,284.88
530.3,19.97,35.28,25.07,248.48,23.88,33.45,35.85,24,39.39,22.09,33.57,23.82,58.83,31.27,27.39,30.78,22.88,24.8,26.87,320.49,273.94,349.6,252.28,345.24,326.71,154.28,280.74
531.31,20.27,34.39,25.11,247.08,23.41,33.29,35.8,25.95,39.45,22.15,32.84,24.9,58.84,31.85,27.54,29.74,22.75,23.22,26.32,317.58,273.13,348.38,248.01,343.36,321.85,154.65,278.49
532.32,20.5,35.32,25.52,245.74,23.57,32.13,35.14,25.7,38.76,22.1,34.32,23.69,58.05,33.37,27.17,28.06,23.58,21.89,25.59,315,272.56,346.37,245.22,341.52,316.3,154.58,277.15
533.33,21.58,37.1,25.8,244.01,24.54,30.93,34.83,23.67,36.28,22.05,36.37,20.71,57.38,35.73,26.78,26.86,23.89,22.03,24.98,312.81,271.16,344.29,243.6,339.47,312.51,153.53,275.68
534.34,23.84,38.65,25.63,241.68,24.93,30.35,35.4,22.33,32.59,22.29,36.47,18.55,57.18,36.98,25.97,26.61,22.91,23.18,24.34,310.15,268.97,342.83,242.13,337.48,310.1,151.67,274.11
535.35,25.87,39.34,25.48,239.25,23.83,30.16,36.19,22.25,29.83,22.84,34.22,18.75,57.25,34.98,24.06,26.36,21.36,23.9,23.65,306.43,266.99,341.8,239.91,335.62,307.99,149.61,272.82
536.36,25.84,38.82,25.45,237.24,22.32,30.4,36.22,22.01,29.08,23.22,31.44,20.64,57.22,30.95,22.08,25.3,20.11,23.63,23.65,302.16,265.23,340.08,237.67,333.64,306.18,147.56,271.71
537.37,23.75,37.53,25.42,235.99,22.03,30.98,35.7,21.14,29.54,23.4,29.57,22.51,56.74,28.26,21.66,24.15,19.59,22.94,24.27,298.66,262.89,336.66,236.46,331.65,304.81,145.36,270.25
538.38,21.4,36.28,25.01,235.41,23.08,31.08,35.6,20.54,30.26,23.34,28.29,23.15,55.96,28.03,22.89,23.82,20.18,22.67,24.18,296.66,260.01,332.59,235.64,329.64,303.39,143.19,268.39
539.39,19.95,35.25,24.11,234.26,24.36,30.08,35.77,20.74,30.89,22.95,27.18,22.95,55.59,28.54,24.55,24.17,22.32,23.61,23.3,295.38,257.62,330.15,233.66,327.22,301.86,141.44,266.69
540.4,18.84,34.5,23.32,231.28,25.75,28.68,35.19,21.27,31.26,22.71,26.9,23.07,55.9,28.35,25.33,24.45,25.87,25.69,23.12,293.58,256.56,330.07,230.74,324.52,300.14,140.3,265.09
541.41,17.65,34.47,23.23,227.33,27.53,28.36,34.18,21.62,31.45,22.99,28.07,23.49,56.28,27.81,24.92,24.07,28.84,27.14,23.66,290.87,256.55,331.09,228.86,321.99,297.58,139.82,263.16
542.42,16.95,34.81,23.33,224.33,28.59,29.33,34.09,21.96,30.33,23.12,31.25,23.21,55.97,27.75,24.33,23,28.4,26.15,23.71,287.59,256.59,331.33,228.84,319.6,294.58,139.89,261.5
543.43,17.2,34.55,22.76,222.59,27.9,30.02,34.66,24.07,28.94,22.55,30.45,22,54.85,28.22,24.68,21.9,24.15,23.49,23.07,284.57,255.75,329.5,229.07,317.28,292.44,140.17,261.08
544.44,18.32,33.63,21.86,221.14,26.01,29.38,34.59,28.58,27.81,22.21,28.59,20.7,53.34,28.65,25.75,21.58,18.79,21.51,22.35,282.38,253.8,326.03,227.64,315.35,291.33,139.98,261.23
545.45,19.87,32.73,21.79,219.61,23.92,27.94,33.95,32.92,26.67,22.72,27.01,20.08,51.98,28.61,26.39,22.09,15.48,21.23,21.9,280.23,251.59,322.66,223.98,313.73,290.51,138.65,260.25
546.46,20.94,32.01,23.05,217.7,22.43,26.36,33.83,32.94,25.53,23.05,25.83,20.11,51.16,28.36,26.13,23,15.26,21.9,21.69,277.47,250.12,320.37,219.35,311.51,289.26,136.44,257.67
547.47,20.77,31.29,24.74,214.82,22.23,24.8,35.25,28.72,25.28,22.57,25.16,20.56,51.01,28.47,25.67,23.75,16.72,22.33,21.46,275.19,249.42,318.59,216.11,308.41,287.03,134.16,254.92
548.48,19.68,30.5,25.35,211.49,23.38,23.55,38.22,24.22,25.97,22.17,25.75,21.39,51.21,28.78,25.75,23.77,17.97,22.05,21.04,273.94,248.82,316.65,215.3,305.49,283.93,132.22,253.31
549.49,18.91,29.62,24.61,209.12,25.12,23.11,40.37,21.97,26.64,23.14,27.47,21.93,51.15,29.05,26.24,23.05,18.46,21.53,20.46,272.31,247.73,314.83,214.84,303.37,280.79,130.78,252.37
550.5,19.1,28.9,23.77,207.86,25.98,23.79,39.68,21.65,26.99,25.8,29.15,21.43,50.78,29.48,26.72,22.51,18.63,21.86,19.69,269.39,246.2,313.45,212.62,301.36,278.12,130.13,250.96
551.51,19.5,28.69,23.64,206.69,25.18,25.17,37.95,22.18,27.39,28.51,29.51,20.65,50.43,29.5,27.39,22.57,18.69,23.43,18.94,266.26,244.8,312.45,209.79,299.13,275.84,130.3,249.04
552.52,19.03,28.91,23.66,205.24,23.6,26.11,37.48,22.7,27.66,29.12,27.9,20.96,49.91,27.98,28.57,22.54,18.39,24.9,18.47,264.17,244.19,312.07,208.08,296.97,273.69,130.84,247.12
